"code_bss";"date_mesure";"niveau_nappe_eau"
"08663X0091/P";"2013-03-07";"166.49"
"08663X0091/P";"2013-03-08";"166.6"
"08663X0091/P";"2013-03-09";"166.62"
"08663X0091/P";"2013-03-10";"166.64"
"08663X0091/P";"2013-03-11";"166.64"
"08663X0091/P";"2013-03-12";"166.64"
"08663X0091/P";"2013-03-13";"166.64"
"08663X0091/P";"2013-03-14";"166.62"
"08663X0091/P";"2013-03-15";"166.62"
"08663X0091/P";"2013-03-16";"166.6"
"08663X0091/P";"2013-03-17";"166.62"
"08663X0091/P";"2013-03-18";"166.64"
"08663X0091/P";"2013-03-19";"166.66"
"08663X0091/P";"2013-03-20";"166.66"
"08663X0091/P";"2013-03-21";"166.64"
"08663X0091/P";"2013-03-22";"166.64"
"08663X0091/P";"2013-03-23";"166.64"
"08663X0091/P";"2013-03-24";"166.66"
"08663X0091/P";"2013-03-25";"166.66"
"08663X0091/P";"2013-03-26";"166.66"
"08663X0091/P";"2013-03-27";"166.66"
"08663X0091/P";"2013-03-28";"166.7"
"08663X0091/P";"2013-03-29";"166.74"
"08663X0091/P";"2013-03-30";"166.77"
"08663X0091/P";"2013-03-31";"166.79"
"08663X0091/P";"2013-04-01";"166.81"
"08663X0091/P";"2013-04-02";"166.81"
"08663X0091/P";"2013-04-03";"166.81"
"08663X0091/P";"2013-04-04";"166.83"
"08663X0091/P";"2013-04-05";"166.83"
"08663X0091/P";"2013-04-06";"166.83"
"08663X0091/P";"2013-04-07";"166.81"
"08663X0091/P";"2013-04-08";"166.81"
"08663X0091/P";"2013-04-09";"166.81"
"08663X0091/P";"2013-04-10";"166.79"
"08663X0091/P";"2013-04-11";"166.77"
"08663X0091/P";"2013-04-12";"166.75"
"08663X0091/P";"2013-04-13";"166.74"
"08663X0091/P";"2013-04-14";"166.72"
"08663X0091/P";"2013-04-15";"166.72"
"08663X0091/P";"2013-04-16";"166.7"
"08663X0091/P";"2013-04-17";"166.7"
"08663X0091/P";"2013-04-18";"166.68"
"08663X0091/P";"2013-04-19";"166.66"
"08663X0091/P";"2013-04-20";"166.66"
"08663X0091/P";"2013-04-21";"166.66"
"08663X0091/P";"2013-04-22";"166.66"
"08663X0091/P";"2013-04-23";"166.64"
"08663X0091/P";"2013-04-24";"166.62"
"08663X0091/P";"2013-04-25";"166.6"
"08663X0091/P";"2013-04-26";"166.6"
"08663X0091/P";"2013-04-27";"166.72"
"08663X0091/P";"2013-04-28";"166.77"
"08663X0091/P";"2013-04-29";"166.81"
"08663X0091/P";"2013-04-30";"166.93"
"08663X0091/P";"2013-05-01";"166.95"
"08663X0091/P";"2013-05-02";"166.95"
"08663X0091/P";"2013-05-03";"167.02"
"08663X0091/P";"2013-05-04";"167.02"
"08663X0091/P";"2013-05-05";"167.02"
"08663X0091/P";"2013-05-06";"167.02"
"08663X0091/P";"2013-05-07";"167.02"
"08663X0091/P";"2013-05-08";"167.02"
"08663X0091/P";"2013-05-09";"166.99"
"08663X0091/P";"2013-05-10";"166.99"
"08663X0091/P";"2013-05-11";"166.99"
"08663X0091/P";"2013-05-12";"166.97"
"08663X0091/P";"2013-05-13";"166.95"
"08663X0091/P";"2013-05-14";"166.93"
"08663X0091/P";"2013-05-15";"166.93"
"08663X0091/P";"2013-05-16";"167.08"
"08663X0091/P";"2013-05-17";"167.1"
"08663X0091/P";"2013-05-18";"167.18"
"08663X0091/P";"2013-05-19";"167.25"
"08663X0091/P";"2013-05-20";"167.27"
"08663X0091/P";"2013-05-21";"167.27"
"08663X0091/P";"2013-05-22";"167.25"
"08663X0091/P";"2013-05-23";"167.24"
"08663X0091/P";"2013-05-24";"167.22"
"08663X0091/P";"2013-05-25";"167.2"
"08663X0091/P";"2013-05-26";"167.16"
"08663X0091/P";"2013-05-27";"167.14"
"08663X0091/P";"2013-05-28";"167.12"
"08663X0091/P";"2013-05-29";"167.14"
"08663X0091/P";"2013-05-30";"167.12"
"08663X0091/P";"2013-05-31";"167.08"
"08663X0091/P";"2013-06-02";"167.02"
"08663X0091/P";"2013-06-03";"167.0"
"08663X0091/P";"2013-06-04";"166.99"
"08663X0091/P";"2013-06-05";"166.97"
"08663X0091/P";"2013-06-06";"166.95"
"08663X0091/P";"2013-06-07";"166.93"
"08663X0091/P";"2013-06-08";"166.91"
"08663X0091/P";"2013-06-09";"166.89"
"08663X0091/P";"2013-06-10";"166.87"
"08663X0091/P";"2013-06-11";"166.85"
"08663X0091/P";"2013-06-12";"166.85"
"08663X0091/P";"2013-06-13";"166.83"
"08663X0091/P";"2013-06-14";"166.81"
"08663X0091/P";"2013-06-15";"166.79"
"08663X0091/P";"2013-06-16";"166.79"
"08663X0091/P";"2013-06-17";"166.77"
"08663X0091/P";"2013-06-18";"166.77"
"08663X0091/P";"2013-06-19";"166.75"
"08663X0091/P";"2013-06-20";"166.74"
"08663X0091/P";"2013-06-21";"166.72"
"08663X0091/P";"2013-06-22";"166.72"
"08663X0091/P";"2013-06-23";"166.7"
"08663X0091/P";"2013-06-24";"166.7"
"08663X0091/P";"2013-06-25";"166.68"
"08663X0091/P";"2013-06-26";"166.68"
"08663X0091/P";"2013-06-27";"166.66"
"08663X0091/P";"2013-06-28";"166.64"
"08663X0091/P";"2013-06-29";"166.64"
"08663X0091/P";"2013-06-30";"166.64"
"08663X0091/P";"2013-07-01";"166.62"
"08663X0091/P";"2013-07-02";"166.62"
"08663X0091/P";"2013-07-03";"166.6"
"08663X0091/P";"2013-07-04";"166.6"
"08663X0091/P";"2013-07-05";"166.58"
"08663X0091/P";"2013-07-06";"166.58"
"08663X0091/P";"2013-07-07";"166.56"
"08663X0091/P";"2013-07-08";"166.56"
"08663X0091/P";"2013-07-09";"166.55"
"08663X0091/P";"2013-07-10";"166.54"
"08663X0091/P";"2013-07-11";"166.56"
"08663X0091/P";"2013-07-12";"166.56"
"08663X0091/P";"2013-07-13";"166.54"
"08663X0091/P";"2013-07-14";"166.52"
"08663X0091/P";"2013-07-15";"166.5"
"08663X0091/P";"2013-07-16";"166.49"
"08663X0091/P";"2013-07-17";"166.47"
"08663X0091/P";"2013-07-18";"166.43"
"08663X0091/P";"2013-07-19";"166.41"
"08663X0091/P";"2013-07-20";"166.41"
"08663X0091/P";"2013-07-21";"166.41"
"08663X0091/P";"2013-07-22";"166.33"
"08663X0091/P";"2013-07-23";"166.24"
"08663X0091/P";"2013-07-24";"166.14"
"08663X0091/P";"2013-07-25";"166.02"
"08663X0091/P";"2013-07-26";"165.91"
"08663X0091/P";"2013-07-27";"165.81"
"08663X0091/P";"2013-07-28";"165.68"
"08663X0091/P";"2013-07-29";"165.97"
"08663X0091/P";"2013-07-30";"166.14"
"08663X0091/P";"2013-07-31";"166.2"
"08663X0091/P";"2013-08-01";"166.22"
"08663X0091/P";"2013-08-02";"166.2"
"08663X0091/P";"2013-08-03";"166.16"
"08663X0091/P";"2013-08-04";"166.04"
"08663X0091/P";"2013-08-05";"165.93"
