"code_bss";"date_mesure";"niveau_nappe_eau"
"00263X0129/PZASA4";"1974-01-26";"60.1"
"00263X0129/PZASA4";"1974-01-27";"60.11"
"00263X0129/PZASA4";"1974-01-28";"60.11"
"00263X0129/PZASA4";"1974-01-29";"60.12"
"00263X0129/PZASA4";"1974-01-30";"60.12"
"00263X0129/PZASA4";"1974-01-31";"60.12"
"00263X0129/PZASA4";"1974-02-01";"60.12"
"00263X0129/PZASA4";"1974-02-02";"60.12"
"00263X0129/PZASA4";"1974-02-03";"60.13"
"00263X0129/PZASA4";"1974-02-04";"60.13"
"00263X0129/PZASA4";"1974-02-05";"60.13"
"00263X0129/PZASA4";"1974-02-06";"60.14"
"00263X0129/PZASA4";"1974-02-07";"60.14"
"00263X0129/PZASA4";"1974-02-08";"60.15"
"00263X0129/PZASA4";"1974-02-09";"60.16"
"00263X0129/PZASA4";"1974-02-10";"60.16"
"00263X0129/PZASA4";"1974-02-11";"60.17"
"00263X0129/PZASA4";"1974-02-12";"60.17"
"00263X0129/PZASA4";"1974-02-13";"60.18"
"00263X0129/PZASA4";"1974-02-14";"60.17"
"00263X0129/PZASA4";"1974-02-15";"60.17"
"00263X0129/PZASA4";"1974-02-16";"60.17"
"00263X0129/PZASA4";"1974-02-17";"60.17"
"00263X0129/PZASA4";"1974-02-18";"60.17"
"00263X0129/PZASA4";"1974-02-19";"60.18"
"00263X0129/PZASA4";"1974-02-20";"60.18"
"00263X0129/PZASA4";"1974-02-21";"60.18"
"00263X0129/PZASA4";"1974-02-22";"60.19"
"00263X0129/PZASA4";"1974-02-23";"60.19"
"00263X0129/PZASA4";"1974-02-24";"60.2"
"00263X0129/PZASA4";"1974-02-25";"60.21"
"00263X0129/PZASA4";"1974-02-26";"60.21"
"00263X0129/PZASA4";"1974-02-27";"60.21"
"00263X0129/PZASA4";"1974-02-28";"60.22"
"00263X0129/PZASA4";"1974-03-01";"60.22"
"00263X0129/PZASA4";"1974-03-02";"60.23"
"00263X0129/PZASA4";"1974-03-03";"60.24"
"00263X0129/PZASA4";"1974-03-04";"60.24"
"00263X0129/PZASA4";"1974-03-05";"60.24"
"00263X0129/PZASA4";"1974-03-06";"60.25"
"00263X0129/PZASA4";"1974-03-07";"60.25"
"00263X0129/PZASA4";"1974-03-08";"60.25"
"00263X0129/PZASA4";"1974-03-09";"60.26"
"00263X0129/PZASA4";"1974-03-10";"60.27"
"00263X0129/PZASA4";"1974-03-11";"60.27"
"00263X0129/PZASA4";"1974-03-12";"60.28"
"00263X0129/PZASA4";"1974-03-13";"60.28"
"00263X0129/PZASA4";"1974-03-14";"60.29"
"00263X0129/PZASA4";"1974-03-15";"60.29"
"00263X0129/PZASA4";"1974-03-16";"60.29"
"00263X0129/PZASA4";"1974-03-17";"60.3"
"00263X0129/PZASA4";"1974-03-18";"60.31"
