"code_bss";"date_mesure";"niveau_nappe_eau"
"1140ZZ0011/P";"1996-04-02";"1.35"
"1140ZZ0011/P";"1996-04-29";"0.91"
"1140ZZ0011/P";"1996-05-30";"0.89"
"1140ZZ0011/P";"1996-06-27";"1.27"
"1140ZZ0011/P";"1996-07-29";"1.24"
"1140ZZ0011/P";"1996-08-26";"0.86"
"1140ZZ0011/P";"1996-09-27";"1.02"
"1140ZZ0011/P";"1996-10-24";"1.08"
"1140ZZ0011/P";"1996-11-21";"1.1"
"1140ZZ0011/P";"1997-01-23";"1.24"
"1140ZZ0011/P";"1997-02-20";"1.25"
"1140ZZ0011/P";"1997-03-21";"1.14"
"1140ZZ0011/P";"1997-04-23";"1.02"
"1140ZZ0011/P";"1997-05-22";"0.94"
"1140ZZ0011/P";"1997-06-25";"0.88"
"1140ZZ0011/P";"1997-07-28";"0.86"
"1140ZZ0011/P";"1997-09-01";"0.85"
"1140ZZ0011/P";"1997-09-25";"0.86"
"1140ZZ0011/P";"1997-10-23";"0.92"
"1140ZZ0011/P";"1997-11-24";"0.87"
"1140ZZ0011/P";"1997-12-22";"0.8"
"1140ZZ0011/P";"1998-01-22";"0.82"
"1140ZZ0011/P";"1998-02-19";"0.73"
"1140ZZ0011/P";"1998-03-23";"0.67"
"1140ZZ0011/P";"1998-04-22";"0.69"
"1140ZZ0011/P";"1998-05-25";"1.06"
"1140ZZ0011/P";"1998-06-21";"0.63"
"1140ZZ0011/P";"1998-07-27";"0.75"
"1140ZZ0011/P";"1998-08-28";"0.85"
"1140ZZ0011/P";"1998-09-29";"0.85"
"1140ZZ0011/P";"1998-10-22";"1.2"
"1140ZZ0011/P";"1998-11-22";"1.1"
"1140ZZ0011/P";"1998-12-22";"1.35"
"1140ZZ0011/P";"1999-01-21";"1.15"
"1140ZZ0011/P";"1999-02-22";"1.23"
"1140ZZ0011/P";"1999-03-23";"1.08"
"1140ZZ0011/P";"1999-04-20";"1.04"
"1140ZZ0011/P";"1999-05-25";"0.97"
"1140ZZ0011/P";"1999-06-21";"1.31"
"1140ZZ0011/P";"1999-07-22";"0.9"
"1140ZZ0011/P";"1999-08-23";"0.87"
"1140ZZ0011/P";"1999-09-28";"0.96"
"1140ZZ0011/P";"1999-10-21";"0.93"
"1140ZZ0011/P";"1999-11-22";"1.51"
"1140ZZ0011/P";"1999-12-20";"1.4"
"1140ZZ0011/P";"2000-01-20";"1.31"
"1140ZZ0011/P";"2000-02-24";"1.11"
"1140ZZ0011/P";"2000-03-20";"1.01"
"1140ZZ0011/P";"2000-04-18";"0.99"
"1140ZZ0011/P";"2000-05-30";"0.9"
"1140ZZ0011/P";"2000-07-06";"0.79"
"1140ZZ0011/P";"2000-08-29";"0.75"
"1140ZZ0011/P";"2000-10-16";"0.89"
"1140ZZ0011/P";"2000-11-14";"0.97"
"1140ZZ0011/P";"2000-12-11";"0.95"
"1140ZZ0011/P";"2001-01-08";"0.94"
"1140ZZ0011/P";"2001-02-19";"0.86"
"1140ZZ0011/P";"2001-03-08";"0.84"
"1140ZZ0011/P";"2001-04-26";"0.72"
"1140ZZ0011/P";"2001-05-24";"0.71"
"1140ZZ0011/P";"2001-06-26";"0.65"
"1140ZZ0011/P";"2001-07-26";"0.62"
"1140ZZ0011/P";"2001-08-27";"0.74"
"1140ZZ0011/P";"2001-09-21";"0.73"
"1140ZZ0011/P";"2001-12-04";"0.92"
"1140ZZ0011/P";"2004-03-11";"1.11"
"1140ZZ0011/P";"2004-03-31";"1.05"
"1140ZZ0011/P";"2004-05-04";"1.01"
"1140ZZ0011/P";"2004-06-07";"1.18"
"1140ZZ0011/P";"2004-07-15";"1.18"
"1140ZZ0011/P";"2004-08-09";"1.15"
"1140ZZ0011/P";"2004-09-02";"1.08"
"1140ZZ0011/P";"2004-10-08";"1.2"
"1140ZZ0011/P";"2004-11-05";"1.47"
"1140ZZ0011/P";"2004-12-02";"1.85"
"1140ZZ0011/P";"2005-01-11";"1.68"
"1140ZZ0011/P";"2005-01-31";"1.61"
"1140ZZ0011/P";"2005-02-28";"1.25"
"1140ZZ0011/P";"2005-04-01";"1.4"
"1140ZZ0011/P";"2005-05-02";"1.3"
"1140ZZ0011/P";"2005-06-02";"1.28"
"1140ZZ0011/P";"2005-07-07";"1.0"
"1140ZZ0011/P";"2005-08-02";"0.96"
"1140ZZ0011/P";"2005-09-13";"1.04"
"1140ZZ0011/P";"2005-10-03";"1.15"
"1140ZZ0011/P";"2005-11-03";"1.84"
"1140ZZ0011/P";"2006-01-06";"1.19"
"1140ZZ0011/P";"2006-02-08";"1.07"
"1140ZZ0011/P";"2006-03-03";"0.99"
"1140ZZ0011/P";"2006-03-24";"0.96"
"1140ZZ0011/P";"2006-05-05";"0.89"
"1140ZZ0011/P";"2006-06-01";"0.79"
"1140ZZ0011/P";"2006-07-05";"0.85"
"1140ZZ0011/P";"2006-08-03";"0.91"
"1140ZZ0011/P";"2006-09-05";"0.86"
"1140ZZ0011/P";"2006-10-03";"0.86"
"1140ZZ0011/P";"2006-11-07";"1.03"
"1140ZZ0011/P";"2006-12-05";"1.16"
