"code_bss";"date_mesure";"niveau_nappe_eau"
"1133ZZ0007/P";"1975-06-19";"0.52"
"1133ZZ0007/P";"1975-11-06";"0.57"
"1133ZZ0007/P";"1984-08-07";"0.2"
"1133ZZ0007/P";"1984-09-14";"0.21"
"1133ZZ0007/P";"1984-10-16";"0.24"
"1133ZZ0007/P";"1984-12-06";"0.14"
"1133ZZ0007/P";"1985-01-17";"0.1"
"1133ZZ0007/P";"1985-02-22";"0.16"
"1133ZZ0007/P";"1985-03-21";"0.22"
"1133ZZ0007/P";"1985-04-29";"0.21"
"1133ZZ0007/P";"1985-07-11";"0.26"
"1133ZZ0007/P";"1985-08-12";"0.22"
"1133ZZ0007/P";"1985-09-26";"0.23"
"1133ZZ0007/P";"1985-10-10";"0.22"
"1133ZZ0007/P";"1985-11-26";"0.15"
"1133ZZ0007/P";"1985-12-19";"0.11"
"1133ZZ0007/P";"1986-01-17";"0.04"
"1133ZZ0007/P";"1986-02-17";"0.37"
"1133ZZ0007/P";"1986-04-14";"0.44"
"1133ZZ0007/P";"1986-07-24";"0.41"
"1133ZZ0007/P";"1986-09-15";"0.45"
"1133ZZ0007/P";"1986-10-14";"0.47"
"1133ZZ0007/P";"1986-11-10";"0.45"
"1133ZZ0007/P";"1986-11-17";"0.45"
"1133ZZ0007/P";"1986-12-29";"0.36"
"1133ZZ0007/P";"1987-01-29";"0.35"
"1133ZZ0007/P";"1987-02-26";"0.34"
"1133ZZ0007/P";"1987-03-23";"0.4"
"1133ZZ0007/P";"1987-04-28";"0.44"
"1133ZZ0007/P";"1987-07-16";"0.4"
"1133ZZ0007/P";"1987-08-24";"0.41"
"1133ZZ0007/P";"1987-09-29";"0.44"
"1133ZZ0007/P";"1987-10-20";"0.44"
"1133ZZ0007/P";"1987-11-19";"0.4"
"1133ZZ0007/P";"1987-12-29";"0.41"
"1133ZZ0007/P";"1988-01-21";"0.4"
"1133ZZ0007/P";"1988-02-22";"0.37"
"1133ZZ0007/P";"1988-03-24";"0.32"
