"code_bss";"date_mesure";"niveau_nappe_eau"
"09023X0016/F";"1990-08-22";"21.51"
"09023X0016/F";"1991-04-10";"22.01"
"09023X0016/F";"1992-10-28";"17.36"
"09023X0016/F";"1993-01-26";"16.81"
"09023X0016/F";"1993-03-15";"16.66"
"09023X0016/F";"1994-01-17";"15.46"
"09023X0016/F";"1994-02-08";"14.05"
"09023X0016/F";"1994-08-11";"13.77"
"09023X0016/F";"1994-11-17";"13.65"
"09023X0016/F";"1995-04-12";"13.39"
"09023X0016/F";"1995-07-27";"12.46"
"09023X0016/F";"1996-02-29";"12.67"
"09023X0016/F";"1996-04-25";"12.67"
"09023X0016/F";"1996-09-23";"12.06"
"09023X0016/F";"1997-04-04";"11.11"
"09023X0016/F";"1998-03-13";"10.9"
"09023X0016/F";"1998-03-19";"10.9"
"09023X0016/F";"1998-06-09";"10.91"
"09023X0016/F";"1998-09-01";"10.36"
"09023X0016/F";"1999-02-18";"10.3"
"09023X0016/F";"2000-02-14";"9.41"
"09023X0016/F";"2000-06-23";"9.15"
"09023X0016/F";"2000-10-26";"8.71"
"09023X0016/F";"2001-04-05";"8.52"
"09023X0016/F";"2001-07-19";"8.22"
"09023X0016/F";"2001-10-10";"7.59"
"09023X0016/F";"2002-11-27";"6.88"
"09023X0016/F";"2003-06-19";"6.05"
"09023X0016/F";"2003-09-11";"5.56"
"09023X0016/F";"2004-01-14";"5.61"
"09023X0016/F";"2004-02-24";"5.6"
"09023X0016/F";"2004-03-31";"5.66"
"09023X0016/F";"2004-04-20";"5.6"
"09023X0016/F";"2004-06-04";"5.23"
"09023X0016/F";"2004-07-06";"4.83"
"09023X0016/F";"2004-08-03";"4.6"
"09023X0016/F";"2004-09-06";"4.44"
"09023X0016/F";"2004-10-04";"4.35"
"09023X0016/F";"2004-11-03";"4.34"
"09023X0016/F";"2004-12-14";"4.34"
"09023X0016/F";"2005-01-10";"4.3"
"09023X0016/F";"2005-02-07";"4.39"
"09023X0016/F";"2005-03-16";"4.33"
"09023X0016/F";"2005-04-11";"4.29"
"09023X0016/F";"2005-05-12";"4.37"
"09023X0016/F";"2005-07-06";"3.83"
"09023X0016/F";"2005-08-09";"3.57"
"09023X0016/F";"2005-09-15";"3.39"
"09023X0016/F";"2005-10-06";"3.54"
"09023X0016/F";"2005-11-03";"3.57"
"09023X0016/F";"2005-12-06";"3.58"
"09023X0016/F";"2006-01-18";"3.26"
"09023X0016/F";"2006-02-22";"3.2"
"09023X0016/F";"2006-03-24";"2.17"
"09023X0016/F";"2006-04-24";"2.99"
"09023X0016/F";"2006-05-17";"3.02"
"09023X0016/F";"2006-06-15";"2.73"
"09023X0016/F";"2006-07-04";"2.64"
"09023X0016/F";"2006-08-09";"2.33"
"09023X0016/F";"2006-09-05";"2.31"
"09023X0016/F";"2006-10-03";"2.3"
"09023X0016/F";"2006-11-03";"2.31"
"09023X0016/F";"2006-12-01";"2.31"
"09023X0016/F";"2007-01-22";"2.5"
"09023X0016/F";"2007-02-15";"2.43"
"09023X0016/F";"2007-03-06";"2.51"
"09023X0016/F";"2007-04-02";"3.56"
"09023X0016/F";"2007-05-02";"2.55"
"09023X0016/F";"2007-05-30";"2.53"
"09023X0016/F";"2007-07-10";"2.15"
"09023X0016/F";"2007-08-03";"2.07"
"09023X0016/F";"2007-09-03";"2.96"
"09023X0016/F";"2007-10-16";"1.95"
"09023X0016/F";"2007-11-08";"1.91"
"09023X0016/F";"2007-12-03";"1.95"
"09023X0016/F";"2008-01-22";"1.99"
"09023X0016/F";"2008-02-08";"2.01"
"09023X0016/F";"2008-03-05";"2.06"
"09023X0016/F";"2008-04-15";"1.76"
"09023X0016/F";"2008-05-14";"2.29"
"09023X0016/F";"2008-06-04";"2.26"
"09023X0016/F";"2008-07-15";"2.06"
"09023X0016/F";"2008-09-17";"1.98"
"09023X0016/F";"2008-10-17";"1.95"
"09023X0016/F";"2008-11-20";"1.98"
"09023X0016/F";"2008-12-08";"2.06"
"09023X0016/F";"2009-01-19";"2.22"
"09023X0016/F";"2009-02-12";"2.1"
"09023X0016/F";"2009-03-09";"2.14"
"09023X0016/F";"2009-04-16";"2.31"
"09023X0016/F";"2009-05-12";"2.29"
"09023X0016/F";"2009-06-08";"2.23"
"09023X0016/F";"2009-07-07";"1.98"
"09023X0016/F";"2009-08-14";"1.81"
"09023X0016/F";"2009-09-15";"1.59"
"09023X0016/F";"2009-10-14";"1.48"
"09023X0016/F";"2009-11-12";"1.63"
"09023X0016/F";"2009-12-10";"1.46"
"09023X0016/F";"2010-01-14";"1.72"
"09023X0016/F";"2010-02-11";"1.52"
"09023X0016/F";"2010-02-12";"1.51"
"09023X0016/F";"2010-02-13";"1.53"
"09023X0016/F";"2010-02-14";"1.54"
"09023X0016/F";"2010-02-15";"1.6"
"09023X0016/F";"2010-02-16";"1.7"
"09023X0016/F";"2010-02-17";"1.7"
"09023X0016/F";"2010-02-18";"1.66"
"09023X0016/F";"2010-02-19";"1.64"
"09023X0016/F";"2010-02-20";"1.6"
"09023X0016/F";"2010-02-21";"1.66"
"09023X0016/F";"2010-02-22";"1.68"
"09023X0016/F";"2010-02-23";"1.64"
"09023X0016/F";"2010-02-24";"1.59"
"09023X0016/F";"2010-02-25";"1.64"
"09023X0016/F";"2010-02-26";"1.55"
"09023X0016/F";"2010-02-27";"1.69"
"09023X0016/F";"2010-02-28";"1.58"
"09023X0016/F";"2010-03-01";"1.53"
"09023X0016/F";"2010-03-02";"1.53"
"09023X0016/F";"2010-03-03";"1.61"
"09023X0016/F";"2010-03-04";"1.55"
"09023X0016/F";"2010-03-05";"1.48"
"09023X0016/F";"2010-03-06";"1.52"
"09023X0016/F";"2010-03-07";"1.54"
"09023X0016/F";"2010-03-08";"1.56"
"09023X0016/F";"2010-03-09";"1.54"
"09023X0016/F";"2010-03-10";"1.53"
"09023X0016/F";"2010-03-11";"1.51"
"09023X0016/F";"2010-03-12";"1.47"
"09023X0016/F";"2010-03-13";"1.44"
"09023X0016/F";"2010-03-14";"1.41"
"09023X0016/F";"2010-03-15";"1.43"
"09023X0016/F";"2010-03-16";"1.45"
"09023X0016/F";"2010-03-17";"1.46"
"09023X0016/F";"2010-03-18";"1.48"
"09023X0016/F";"2010-03-19";"1.52"
"09023X0016/F";"2010-03-20";"1.53"
"09023X0016/F";"2010-03-21";"1.48"
"09023X0016/F";"2010-03-22";"1.49"
"09023X0016/F";"2010-03-23";"1.54"
"09023X0016/F";"2010-03-24";"1.59"
"09023X0016/F";"2010-03-25";"1.6"
"09023X0016/F";"2010-03-26";"1.54"
"09023X0016/F";"2010-03-27";"1.49"
"09023X0016/F";"2010-03-28";"1.52"
"09023X0016/F";"2010-03-29";"1.64"
"09023X0016/F";"2010-03-30";"1.6"
"09023X0016/F";"2010-03-31";"1.57"
"09023X0016/F";"2010-04-01";"1.54"
"09023X0016/F";"2010-04-02";"1.57"
"09023X0016/F";"2010-04-03";"1.58"
"09023X0016/F";"2010-04-04";"1.49"
"09023X0016/F";"2010-04-05";"1.48"
"09023X0016/F";"2010-04-06";"1.55"
"09023X0016/F";"2010-04-07";"1.5"
"09023X0016/F";"2010-04-08";"1.46"
"09023X0016/F";"2010-04-09";"1.47"
"09023X0016/F";"2010-04-10";"1.51"
"09023X0016/F";"2010-04-11";"1.57"
"09023X0016/F";"2010-04-12";"1.56"
"09023X0016/F";"2010-04-13";"1.55"
"09023X0016/F";"2010-04-14";"1.56"
"09023X0016/F";"2010-04-15";"1.57"
"09023X0016/F";"2010-04-16";"1.55"
"09023X0016/F";"2010-04-17";"1.56"
"09023X0016/F";"2010-04-18";"1.55"
"09023X0016/F";"2010-04-19";"1.53"
"09023X0016/F";"2010-04-20";"1.51"
"09023X0016/F";"2010-04-21";"1.56"
"09023X0016/F";"2010-04-22";"1.59"
"09023X0016/F";"2010-04-23";"1.54"
"09023X0016/F";"2010-04-24";"1.5"
"09023X0016/F";"2010-04-25";"1.43"
"09023X0016/F";"2010-04-26";"1.43"
"09023X0016/F";"2010-04-27";"1.45"
"09023X0016/F";"2010-04-28";"1.47"
"09023X0016/F";"2010-04-29";"1.49"
"09023X0016/F";"2010-04-30";"1.51"
"09023X0016/F";"2010-05-01";"1.52"
"09023X0016/F";"2010-05-02";"1.52"
"09023X0016/F";"2010-05-03";"1.48"
"09023X0016/F";"2010-05-04";"1.49"
"09023X0016/F";"2010-05-05";"1.51"
"09023X0016/F";"2010-05-06";"1.54"
"09023X0016/F";"2010-05-07";"1.58"
"09023X0016/F";"2010-05-08";"1.57"
"09023X0016/F";"2010-05-09";"1.59"
"09023X0016/F";"2010-05-10";"1.59"
"09023X0016/F";"2010-05-11";"1.58"
"09023X0016/F";"2010-05-12";"1.55"
"09023X0016/F";"2010-05-13";"1.54"
"09023X0016/F";"2010-05-14";"1.53"
"09023X0016/F";"2010-05-15";"1.49"
"09023X0016/F";"2010-05-16";"1.43"
"09023X0016/F";"2010-05-17";"1.4"
"09023X0016/F";"2010-05-18";"1.41"
"09023X0016/F";"2010-05-19";"1.4"
"09023X0016/F";"2010-05-20";"1.4"
"09023X0016/F";"2010-05-21";"1.43"
"09023X0016/F";"2010-05-22";"1.45"
"09023X0016/F";"2010-05-23";"1.45"
"09023X0016/F";"2010-05-24";"1.46"
"09023X0016/F";"2010-05-25";"1.46"
"09023X0016/F";"2010-05-26";"1.45"
"09023X0016/F";"2010-05-27";"1.44"
"09023X0016/F";"2010-05-28";"1.41"
"09023X0016/F";"2010-05-29";"1.39"
"09023X0016/F";"2010-05-30";"1.38"
"09023X0016/F";"2010-05-31";"1.39"
"09023X0016/F";"2010-06-01";"1.42"
"09023X0016/F";"2010-06-02";"1.43"
"09023X0016/F";"2010-06-03";"1.45"
"09023X0016/F";"2010-06-04";"1.4"
"09023X0016/F";"2010-06-05";"1.4"
"09023X0016/F";"2010-06-06";"1.37"
"09023X0016/F";"2010-06-07";"1.43"
"09023X0016/F";"2010-06-08";"1.47"
"09023X0016/F";"2010-06-09";"1.53"
"09023X0016/F";"2010-06-10";"1.51"
"09023X0016/F";"2010-06-11";"1.45"
"09023X0016/F";"2010-06-12";"1.42"
"09023X0016/F";"2010-06-13";"1.4"
"09023X0016/F";"2010-06-14";"1.41"
"09023X0016/F";"2010-06-15";"1.43"
"09023X0016/F";"2010-06-16";"1.45"
"09023X0016/F";"2010-06-17";"1.42"
"09023X0016/F";"2010-06-18";"1.42"
