"code_bss";"date_mesure";"niveau_nappe_eau"
"03263X0028/P";"1974-11-12";"114.18"
"03263X0028/P";"1974-11-19";"114.2"
"03263X0028/P";"1974-11-26";"114.21"
"03263X0028/P";"1974-12-03";"114.22"
"03263X0028/P";"1974-12-10";"114.23"
"03263X0028/P";"1974-12-17";"114.24"
"03263X0028/P";"1974-12-24";"114.25"
"03263X0028/P";"1974-12-29";"114.27"
"03263X0028/P";"1975-01-03";"114.27"
"03263X0028/P";"1975-01-10";"114.29"
"03263X0028/P";"1975-01-17";"114.31"
"03263X0028/P";"1975-01-23";"114.33"
"03263X0028/P";"1975-01-29";"114.34"
"03263X0028/P";"1975-02-05";"114.35"
"03263X0028/P";"1975-02-12";"114.35"
"03263X0028/P";"1975-02-19";"114.36"
"03263X0028/P";"1975-02-23";"114.37"
"03263X0028/P";"1975-02-27";"114.37"
"03263X0028/P";"1975-03-06";"114.38"
"03263X0028/P";"1975-03-13";"114.4"
"03263X0028/P";"1975-03-20";"114.41"
"03263X0028/P";"1975-03-27";"114.43"
"03263X0028/P";"1975-04-03";"114.45"
"03263X0028/P";"1975-04-10";"114.46"
"03263X0028/P";"1975-04-17";"114.48"
"03263X0028/P";"1975-04-24";"114.49"
"03263X0028/P";"1975-04-29";"114.51"
"03263X0028/P";"1975-05-19";"114.55"
"03263X0028/P";"1975-06-03";"114.59"
"03263X0028/P";"1975-06-17";"114.58"
"03263X0028/P";"1975-06-24";"114.58"
"03263X0028/P";"1975-07-09";"114.41"
"03263X0028/P";"1975-07-29";"113.92"
"03263X0028/P";"1975-08-12";"113.82"
"03263X0028/P";"1975-08-26";"113.89"
"03263X0028/P";"1975-09-02";"113.92"
"03263X0028/P";"1975-09-13";"113.99"
"03263X0028/P";"1975-09-24";"114.09"
"03263X0028/P";"1975-10-07";"114.26"
"03263X0028/P";"1975-10-14";"114.33"
"03263X0028/P";"1975-11-04";"114.42"
"03263X0028/P";"1975-12-08";"114.5"
"03263X0028/P";"1975-12-12";"114.52"
