"code_bss";"date_mesure";"niveau_nappe_eau"
"01201X0108/S1";"1974-01-29";"28.07"
"01201X0108/S1";"1974-02-27";"28.37"
"01201X0108/S1";"1974-03-26";"28.61"
"01201X0108/S1";"1974-04-23";"28.57"
"01201X0108/S1";"1974-06-05";"28.15"
"01201X0108/S1";"1974-06-26";"28.05"
"01201X0108/S1";"1974-07-23";"27.95"
"01201X0108/S1";"1974-08-27";"27.8"
"01201X0108/S1";"1974-09-25";"27.78"
"01201X0108/S1";"1974-10-24";"28.24"
"01201X0108/S1";"1974-12-02";"30.78"
"01201X0108/S1";"1974-12-20";"30.42"
"01201X0108/S1";"1975-01-17";"29.63"
"01201X0108/S1";"1975-02-17";"29.65"
"01201X0108/S1";"1975-03-27";"30.65"
"01201X0108/S1";"1975-04-17";"31.59"
"01201X0108/S1";"1975-05-21";"30.36"
"01201X0108/S1";"1975-06-24";"29.72"
"01201X0108/S1";"1975-07-22";"29.12"
"01201X0108/S1";"1975-08-25";"28.75"
"01201X0108/S1";"1975-09-23";"28.29"
"01201X0108/S1";"1975-10-22";"28.09"
"01201X0108/S1";"1975-11-18";"28.11"
"01201X0108/S1";"1975-12-19";"28.04"
"01201X0108/S1";"1976-01-19";"27.88"
"01201X0108/S1";"1976-02-17";"27.95"
"01201X0108/S1";"1976-03-16";"28.03"
"01201X0108/S1";"1976-04-13";"28.05"
"01201X0108/S1";"1976-05-18";"27.95"
"01201X0108/S1";"1976-06-15";"27.9"
"01201X0108/S1";"1976-07-19";"27.83"
"01201X0108/S1";"1976-08-17";"27.72"
"01201X0108/S1";"1976-09-14";"27.71"
"01201X0108/S1";"1976-10-18";"27.91"
"01201X0108/S1";"1976-11-24";"28.2"
"01201X0108/S1";"1976-12-13";"28.79"
"01201X0108/S1";"1977-01-19";"29.0"
"01201X0108/S1";"1977-02-14";"29.92"
"01201X0108/S1";"1977-03-28";"30.3"
"01201X0108/S1";"1977-04-27";"30.53"
"01201X0108/S1";"1977-05-23";"29.65"
"01201X0108/S1";"1977-06-22";"29.0"
"01201X0108/S1";"1977-07-18";"28.58"
"01201X0108/S1";"1977-08-23";"28.33"
"01201X0108/S1";"1977-09-28";"27.97"
"01201X0108/S1";"1977-10-24";"27.91"
"01201X0108/S1";"1977-11-21";"28.13"
"01201X0108/S1";"1977-12-19";"28.09"
"01201X0108/S1";"1978-01-16";"28.22"
"01201X0108/S1";"1978-02-22";"29.65"
"01201X0108/S1";"1978-03-20";"31.63"
"01201X0108/S1";"1978-04-18";"31.61"
"01201X0108/S1";"1978-05-17";"30.32"
"01201X0108/S1";"1978-06-20";"29.61"
"01201X0108/S1";"1978-07-24";"29.03"
"01201X0108/S1";"1978-08-28";"29.55"
"01201X0108/S1";"1978-09-26";"29.21"
"01201X0108/S1";"1978-10-16";"28.91"
"01201X0108/S1";"1978-11-21";"28.55"
"01201X0108/S1";"1978-12-18";"28.44"
"01201X0108/S1";"1979-01-15";"28.63"
"01201X0108/S1";"1979-02-20";"31.72"
"01201X0108/S1";"1979-03-19";"31.63"
"01201X0108/S1";"1979-04-17";"32.57"
"01201X0108/S1";"1979-05-21";"30.57"
"01201X0108/S1";"1979-06-26";"30.01"
"01201X0108/S1";"1979-07-27";"29.47"
"01201X0108/S1";"1979-08-28";"29.09"
"01201X0108/S1";"1979-09-19";"28.86"
"01201X0108/S1";"1979-10-22";"28.53"
"01201X0108/S1";"1979-11-13";"28.72"
"01201X0108/S1";"1979-12-10";"28.47"
"01201X0108/S1";"1980-01-11";"29.78"
"01201X0108/S1";"1980-02-13";"31.84"
"01201X0108/S1";"1980-03-12";"31.32"
"01201X0108/S1";"1980-04-14";"31.07"
"01201X0108/S1";"1980-05-19";"29.96"
"01201X0108/S1";"1980-06-20";"29.37"
"01201X0108/S1";"1980-07-22";"29.24"
"01201X0108/S1";"1980-08-18";"28.91"
"01201X0108/S1";"1980-09-12";"28.65"
"01201X0108/S1";"1980-10-15";"28.66"
"01201X0108/S1";"1980-11-14";"28.5"
"01201X0108/S1";"1980-12-12";"28.38"
"01201X0108/S1";"1981-01-13";"29.22"
"01201X0108/S1";"1981-02-11";"30.42"
"01201X0108/S1";"1981-03-17";"30.36"
"01201X0108/S1";"1981-04-07";"30.17"
"01201X0108/S1";"1981-05-12";"29.99"
"01201X0108/S1";"1981-06-19";"31.07"
"01201X0108/S1";"1981-07-15";"30.15"
"01201X0108/S1";"1981-08-24";"29.12"
"01201X0108/S1";"1981-09-11";"28.95"
"01201X0108/S1";"1981-10-06";"28.95"
"01201X0108/S1";"1981-11-13";"30.05"
"01201X0108/S1";"1981-12-14";"29.42"
"01201X0108/S1";"1982-01-14";"29.74"
"01201X0108/S1";"1982-02-16";"31.32"
"01201X0108/S1";"1982-03-16";"30.13"
"01201X0108/S1";"1982-04-21";"29.59"
"01201X0108/S1";"1982-05-17";"29.72"
"01201X0108/S1";"1982-06-17";"29.41"
"01201X0108/S1";"1982-07-07";"28.66"
"01201X0108/S1";"1982-08-10";"28.95"
"01201X0108/S1";"1982-09-09";"28.72"
"01201X0108/S1";"1982-10-20";"28.96"
"01201X0108/S1";"1982-11-16";"29.08"
"01201X0108/S1";"1982-12-22";"29.59"
"01201X0108/S1";"1983-01-18";"32.53"
"01201X0108/S1";"1983-02-10";"31.13"
"01201X0108/S1";"1983-03-22";"30.36"
"01201X0108/S1";"1983-04-12";"30.44"
"01201X0108/S1";"1983-05-16";"30.86"
"01201X0108/S1";"1983-06-16";"30.65"
"01201X0108/S1";"1983-07-11";"30.59"
"01201X0108/S1";"1983-08-02";"30.46"
"01201X0108/S1";"1983-09-12";"30.3"
"01201X0108/S1";"1983-10-10";"30.46"
"01201X0108/S1";"1983-11-07";"28.8"
"01201X0108/S1";"1983-12-16";"29.05"
"01201X0108/S1";"1984-01-17";"29.01"
"01201X0108/S1";"1984-02-15";"29.16"
"01201X0108/S1";"1984-03-16";"29.67"
"01201X0108/S1";"1984-04-12";"29.84"
"01201X0108/S1";"1984-05-18";"29.45"
"01201X0108/S1";"1984-06-21";"29.4"
"01201X0108/S1";"1984-07-11";"28.59"
"01201X0108/S1";"1984-08-01";"28.53"
"01201X0108/S1";"1984-09-05";"28.45"
"01201X0108/S1";"1984-10-01";"28.62"
"01201X0108/S1";"1984-11-16";"28.08"
"01201X0108/S1";"1984-12-03";"28.28"
"01201X0108/S1";"1985-01-15";"28.12"
"01201X0108/S1";"1985-02-11";"28.66"
"01201X0108/S1";"1985-03-15";"28.4"
"01201X0108/S1";"1985-04-26";"28.54"
"01201X0108/S1";"1985-05-13";"28.45"
"01201X0108/S1";"1985-06-14";"28.37"
"01201X0108/S1";"1985-07-05";"28.25"
"01201X0108/S1";"1985-08-05";"27.9"
"01201X0108/S1";"1985-09-24";"27.61"
"01201X0108/S1";"1985-10-29";"27.58"
"01201X0108/S1";"1985-11-19";"27.7"
"01201X0108/S1";"1985-12-12";"27.59"
"01201X0108/S1";"1986-01-15";"27.91"
"01201X0108/S1";"1986-02-21";"28.21"
"01201X0108/S1";"1986-03-17";"28.09"
"01201X0108/S1";"1986-04-17";"29.47"
"01201X0108/S1";"1986-05-26";"29.12"
"01201X0108/S1";"1986-06-18";"28.75"
"01201X0108/S1";"1986-07-22";"28.54"
"01201X0108/S1";"1986-08-21";"28.4"
"01201X0108/S1";"1986-09-19";"28.54"
"01201X0108/S1";"1986-10-28";"28.45"
"01201X0108/S1";"1986-11-21";"28.03"
"01201X0108/S1";"1986-12-19";"28.46"
"01201X0108/S1";"1987-01-07";"28.69"
"01201X0108/S1";"1987-02-26";"28.95"
"01201X0108/S1";"1987-03-25";"29.0"
"01201X0108/S1";"1987-04-27";"28.86"
"01201X0108/S1";"1987-05-21";"28.74"
"01201X0108/S1";"1987-06-25";"28.79"
"01201X0108/S1";"1987-07-08";"28.66"
"01201X0108/S1";"1987-08-18";"28.45"
"01201X0108/S1";"1987-09-08";"28.29"
"01201X0108/S1";"1987-10-23";"28.5"
"01201X0108/S1";"1987-11-18";"28.9"
"01201X0108/S1";"1987-12-21";"28.75"
"01201X0108/S1";"1988-01-13";"29.45"
"01201X0108/S1";"1988-02-11";"33.44"
"01201X0108/S1";"1988-03-15";"32.59"
"01201X0108/S1";"1988-04-25";"32.46"
"01201X0108/S1";"1988-05-09";"32.24"
"01201X0108/S1";"1988-06-27";"32.15"
"01201X0108/S1";"1988-07-05";"32.09"
"01201X0108/S1";"1988-08-19";"31.36"
"01201X0108/S1";"1988-09-23";"31.3"
"01201X0108/S1";"1988-10-24";"31.17"
"01201X0108/S1";"1988-11-25";"28.25"
"01201X0108/S1";"1988-12-19";"31.34"
"01201X0108/S1";"1989-01-11";"31.11"
"01201X0108/S1";"1989-02-09";"31.09"
"01201X0108/S1";"1989-03-31";"31.44"
"01201X0108/S1";"1989-04-25";"31.3"
"01201X0108/S1";"1989-05-18";"31.26"
"01201X0108/S1";"1989-06-06";"31.05"
"01201X0108/S1";"1989-07-12";"30.9"
"01201X0108/S1";"1989-08-17";"30.8"
"01201X0108/S1";"1989-09-15";"30.65"
"01201X0108/S1";"1989-10-31";"30.57"
"01201X0108/S1";"1989-11-28";"30.4"
"01201X0108/S1";"1989-12-21";"30.34"
"01201X0108/S1";"1990-01-27";"30.51"
"01201X0108/S1";"1990-02-27";"30.65"
"01201X0108/S1";"1990-03-26";"30.53"
"01201X0108/S1";"1990-04-21";"30.36"
"01201X0108/S1";"1990-05-21";"28.15"
"01201X0108/S1";"1990-06-15";"27.95"
"01201X0108/S1";"1990-07-10";"27.61"
"01201X0108/S1";"1990-08-08";"27.66"
"01201X0108/S1";"1990-09-14";"27.59"
"01201X0108/S1";"1990-10-09";"27.55"
"01201X0108/S1";"1990-10-22";"27.51"
"01201X0108/S1";"1990-12-14";"27.59"
"01201X0108/S1";"1991-01-14";"27.79"
"01201X0108/S1";"1991-02-15";"27.61"
"01201X0108/S1";"1991-03-13";"27.45"
"01201X0108/S1";"1991-04-09";"27.36"
"01201X0108/S1";"1991-05-07";"27.29"
"01201X0108/S1";"1991-06-04";"27.25"
"01201X0108/S1";"1991-07-05";"27.34"
"01201X0108/S1";"1991-08-20";"27.83"
"01201X0108/S1";"1991-09-19";"27.55"
"01201X0108/S1";"1991-10-21";"27.45"
"01201X0108/S1";"1991-11-11";"27.51"
"01201X0108/S1";"1991-12-20";"27.45"
"01201X0108/S1";"1992-01-23";"27.87"
"01201X0108/S1";"1992-02-07";"27.62"
"01201X0108/S1";"1992-03-10";"27.76"
"01201X0108/S1";"1992-04-10";"27.75"
"01201X0108/S1";"1992-05-14";"27.72"
"01201X0108/S1";"1992-06-05";"29.04"
"01201X0108/S1";"1992-07-09";"28.91"
"01201X0108/S1";"1992-08-18";"28.5"
"01201X0108/S1";"1992-09-10";"28.16"
"01201X0108/S1";"1992-10-15";"28.41"
"01201X0108/S1";"1992-11-23";"28.51"
"01201X0108/S1";"1992-12-16";"29.69"
"01201X0108/S1";"1993-01-18";"29.99"
"01201X0108/S1";"1993-02-04";"29.47"
"01201X0108/S1";"1993-03-12";"29.29"
"01201X0108/S1";"1993-04-09";"29.25"
"01201X0108/S1";"1993-05-07";"29.16"
"01201X0108/S1";"1993-06-02";"29.09"
"01201X0108/S1";"1993-07-09";"29.25"
"01201X0108/S1";"1993-08-19";"28.95"
"01201X0108/S1";"1993-09-22";"28.79"
"01201X0108/S1";"1993-10-14";"28.12"
"01201X0108/S1";"1993-11-15";"28.07"
"01201X0108/S1";"1993-12-08";"27.78"
"01201X0108/S1";"1994-01-12";"29.04"
"01201X0108/S1";"1994-02-10";"29.71"
"01201X0108/S1";"1994-03-10";"29.76"
"01201X0108/S1";"1994-04-08";"29.65"
"01201X0108/S1";"1994-05-06";"29.69"
"01201X0108/S1";"1994-06-07";"29.67"
"01201X0108/S1";"1994-06-30";"29.49"
"01201X0108/S1";"1994-08-05";"29.21"
"01201X0108/S1";"1994-09-09";"29.45"
"01201X0108/S1";"1994-10-07";"29.25"
"01201X0108/S1";"1994-11-10";"29.25"
"01201X0108/S1";"1994-12-07";"30.11"
"01201X0108/S1";"1995-01-18";"31.97"
"01201X0108/S1";"1995-02-09";"33.91"
"01201X0108/S1";"1995-03-14";"33.07"
"01201X0108/S1";"1995-04-13";"31.61"
"01201X0108/S1";"1995-05-03";"30.53"
"01201X0108/S1";"1995-06-08";"29.82"
"01201X0108/S1";"1995-07-07";"29.37"
"01201X0108/S1";"1995-08-24";"28.84"
"01201X0108/S1";"1995-09-13";"28.62"
"01201X0108/S1";"1995-10-03";"28.58"
"01201X0108/S1";"1995-11-07";"28.17"
"01201X0108/S1";"1995-12-05";"28.0"
"01201X0108/S1";"1996-01-04";"27.97"
"01201X0108/S1";"1996-02-09";"27.82"
"01201X0108/S1";"1996-03-06";"28.12"
"01201X0108/S1";"1996-04-03";"27.96"
"01201X0108/S1";"1996-05-09";"27.86"
"01201X0108/S1";"1996-06-05";"27.87"
"01201X0108/S1";"1996-07-03";"27.75"
"01201X0108/S1";"1996-08-28";"27.63"
"01201X0108/S1";"1996-09-24";"27.66"
"01201X0108/S1";"1996-10-23";"27.69"
"01201X0108/S1";"1996-11-27";"27.84"
"01201X0108/S1";"1996-12-17";"27.92"
"01201X0108/S1";"1997-01-22";"27.66"
"01201X0108/S1";"1997-02-20";"27.61"
"01201X0108/S1";"1997-03-20";"27.97"
"01201X0108/S1";"1997-04-22";"27.78"
"01201X0108/S1";"1997-05-21";"27.87"
"01201X0108/S1";"1997-06-22";"28.05"
"01201X0108/S1";"1997-07-22";"28.22"
"01201X0108/S1";"1997-08-28";"27.96"
"01201X0108/S1";"1997-09-25";"27.82"
"01201X0108/S1";"1997-10-30";"27.86"
"01201X0108/S1";"1997-11-20";"27.72"
"01201X0108/S1";"1997-12-19";"28.09"
"01201X0108/S1";"1998-01-19";"28.95"
"01201X0108/S1";"1998-02-18";"28.91"
"01201X0108/S1";"1998-03-25";"28.33"
"01201X0108/S1";"1998-04-23";"28.41"
"01201X0108/S1";"1998-05-14";"28.4"
"01201X0108/S1";"1998-06-18";"28.34"
"01201X0108/S1";"1998-07-22";"28.03"
"01201X0108/S1";"1998-09-22";"27.92"
"01201X0108/S1";"1998-10-21";"27.74"
"01201X0108/S1";"1998-11-23";"27.96"
"01201X0108/S1";"1998-12-20";"27.97"
"01201X0108/S1";"1999-01-22";"28.7"
"01201X0108/S1";"1999-02-11";"29.22"
"01201X0108/S1";"1999-03-26";"30.47"
