"code_bss";"date_mesure";"niveau_nappe_eau"
"01833B0036/F1";"1976-03-24";"26.52"
"01833B0036/F1";"1976-03-29";"26.64"
"01833B0036/F1";"1976-04-06";"26.68"
"01833B0036/F1";"1976-04-13";"26.64"
"01833B0036/F1";"1976-04-14";"26.42"
"01833B0036/F1";"1976-04-15";"26.32"
"01833B0036/F1";"1976-04-16";"26.32"
"01833B0036/F1";"1976-04-17";"26.32"
"01833B0036/F1";"1976-04-18";"26.32"
"01833B0036/F1";"1976-04-19";"26.42"
"01833B0036/F1";"1976-04-20";"26.52"
"01833B0036/F1";"1976-04-21";"26.32"
"01833B0036/F1";"1976-04-22";"26.18"
"01833B0036/F1";"1976-04-23";"26.36"
"01833B0036/F1";"1976-04-26";"26.4"
"01833B0036/F1";"1976-05-07";"26.18"
"01833B0036/F1";"1976-05-14";"26.3"
"01833B0036/F1";"1976-05-15";"26.28"
"01833B0036/F1";"1976-05-21";"26.44"
"01833B0036/F1";"1976-05-22";"26.4"
"01833B0036/F1";"1976-05-31";"26.28"
"01833B0036/F1";"1976-06-08";"26.22"
"01833B0036/F1";"1976-07-08";"25.1"
"01833B0036/F1";"1976-07-09";"24.98"
"01833B0036/F1";"1976-07-10";"25.04"
"01833B0036/F1";"1976-07-11";"25.4"
"01833B0036/F1";"1976-07-12";"25.5"
"01833B0036/F1";"1976-07-13";"25.18"
"01833B0036/F1";"1976-07-14";"25.28"
"01833B0036/F1";"1976-07-15";"25.3"
"01833B0036/F1";"1976-07-16";"25.12"
"01833B0036/F1";"1976-07-17";"25.1"
"01833B0036/F1";"1976-07-18";"25.44"
"01833B0036/F1";"1976-07-19";"25.48"
"01833B0036/F1";"1976-07-20";"25.22"
"01833B0036/F1";"1976-07-21";"25.26"
"01833B0036/F1";"1976-07-22";"25.18"
"01833B0036/F1";"1976-07-23";"25.14"
"01833B0036/F1";"1976-07-24";"25.3"
"01833B0036/F1";"1976-07-25";"25.54"
"01833B0036/F1";"1976-07-26";"25.7"
"01833B0036/F1";"1976-07-27";"25.54"
"01833B0036/F1";"1976-07-28";"25.2"
"01833B0036/F1";"1976-07-29";"25.14"
"01833B0036/F1";"1976-07-30";"25.16"
"01833B0036/F1";"1976-07-31";"25.4"
"01833B0036/F1";"1976-08-01";"25.64"
"01833B0036/F1";"1976-08-02";"25.83"
"01833B0036/F1";"1976-08-03";"25.94"
"01833B0036/F1";"1976-08-04";"25.98"
"01833B0036/F1";"1976-08-05";"25.92"
"01833B0036/F1";"1976-08-06";"26.07"
"01833B0036/F1";"1976-08-07";"26.14"
"01833B0036/F1";"1976-08-08";"26.24"
