"code_bss";"date_mesure";"niveau_nappe_eau"
"00803X0003/P";"1972-02-07";"82.82"
"00803X0003/P";"1997-04-18";"83.55"
"00803X0003/P";"1997-09-30";"83.06"
"00803X0003/P";"1998-02-17";"83.1"
"00803X0003/P";"1998-05-11";"83.55"
"00803X0003/P";"1998-06-08";"83.56"
"00803X0003/P";"1998-06-17";"83.66"
"00803X0003/P";"1998-06-25";"83.66"
"00803X0003/P";"1998-07-05";"83.66"
"00803X0003/P";"1998-07-15";"83.61"
"00803X0003/P";"1998-07-25";"83.55"
"00803X0003/P";"1998-08-01";"83.51"
"00803X0003/P";"1998-08-10";"83.41"
"00803X0003/P";"1998-08-30";"83.36"
"00803X0003/P";"1998-09-10";"83.36"
"00803X0003/P";"1998-09-20";"83.26"
"00803X0003/P";"1998-10-01";"83.16"
"00803X0003/P";"1998-11-10";"83.23"
"00803X0003/P";"1998-12-02";"83.19"
"00803X0003/P";"1998-12-16";"83.2"
"00803X0003/P";"1998-12-30";"83.31"
"00803X0003/P";"1999-01-10";"83.36"
"00803X0003/P";"1999-01-23";"83.41"
"00803X0003/P";"1999-01-31";"83.46"
"00803X0003/P";"1999-02-10";"83.51"
"00803X0003/P";"1999-02-20";"83.66"
"00803X0003/P";"1999-03-01";"83.76"
"00803X0003/P";"1999-03-10";"83.86"
"00803X0003/P";"1999-03-20";"84.06"
"00803X0003/P";"1999-04-03";"84.16"
"00803X0003/P";"1999-04-10";"84.26"
"00803X0003/P";"1999-04-20";"84.36"
"00803X0003/P";"1999-05-05";"84.51"
"00803X0003/P";"1999-05-12";"84.51"
"00803X0003/P";"1999-05-20";"84.51"
"00803X0003/P";"1999-06-03";"84.51"
"00803X0003/P";"1999-06-20";"84.48"
"00803X0003/P";"1999-07-05";"84.46"
"00803X0003/P";"1999-07-20";"84.39"
"00803X0003/P";"1999-07-28";"84.31"
"00803X0003/P";"1999-08-12";"84.24"
"00803X0003/P";"1999-08-20";"84.18"
"00803X0003/P";"1999-09-04";"84.16"
"00803X0003/P";"1999-09-15";"84.16"
"00803X0003/P";"1999-10-01";"84.16"
"00803X0003/P";"1999-10-15";"84.06"
"00803X0003/P";"1999-10-20";"83.99"
"00803X0003/P";"1999-11-02";"83.88"
"00803X0003/P";"1999-11-15";"83.87"
"00803X0003/P";"1999-11-25";"83.86"
"00803X0003/P";"1999-12-06";"83.86"
"00803X0003/P";"1999-12-15";"84.21"
"00803X0003/P";"1999-12-25";"84.31"
"00803X0003/P";"2000-01-05";"84.41"
"00803X0003/P";"2000-01-15";"84.56"
"00803X0003/P";"2000-01-25";"84.71"
"00803X0003/P";"2000-02-05";"84.96"
"00803X0003/P";"2000-02-12";"85.16"
"00803X0003/P";"2000-02-19";"85.21"
"00803X0003/P";"2000-02-26";"85.3"
"00803X0003/P";"2000-03-04";"85.37"
"00803X0003/P";"2000-03-10";"85.41"
"00803X0003/P";"2000-03-17";"85.43"
"00803X0003/P";"2000-03-25";"85.48"
"00803X0003/P";"2000-03-31";"85.71"
"00803X0003/P";"2000-04-05";"85.76"
"00803X0003/P";"2000-04-15";"86.01"
"00803X0003/P";"2000-04-25";"86.01"
"00803X0003/P";"2000-05-02";"86.01"
"00803X0003/P";"2000-05-08";"86.06"
"00803X0003/P";"2000-05-15";"86.26"
"00803X0003/P";"2000-05-21";"86.28"
"00803X0003/P";"2000-05-30";"86.34"
"00803X0003/P";"2000-06-08";"86.39"
"00803X0003/P";"2000-06-12";"86.44"
"00803X0003/P";"2000-06-20";"86.46"
"00803X0003/P";"2000-06-30";"86.46"
"00803X0003/P";"2000-07-03";"86.46"
"00803X0003/P";"2000-07-11";"86.34"
"00803X0003/P";"2000-07-28";"86.36"
"00803X0003/P";"2000-08-04";"86.36"
"00803X0003/P";"2000-08-16";"86.36"
"00803X0003/P";"2000-08-28";"86.36"
"00803X0003/P";"2000-09-22";"86.11"
"00803X0003/P";"2000-09-30";"86.06"
"00803X0003/P";"2000-10-08";"86.06"
"00803X0003/P";"2000-10-15";"86.06"
"00803X0003/P";"2000-10-22";"86.08"
"00803X0003/P";"2000-10-29";"86.46"
"00803X0003/P";"2000-11-08";"86.56"
"00803X0003/P";"2000-11-16";"86.76"
"00803X0003/P";"2000-11-24";"86.91"
"00803X0003/P";"2000-11-30";"87.06"
"00803X0003/P";"2000-12-10";"88.02"
"00803X0003/P";"2000-12-17";"89.23"
"00803X0003/P";"2000-12-23";"88.73"
"00803X0003/P";"2000-12-28";"89.06"
"00803X0003/P";"2000-12-31";"89.46"
"00803X0003/P";"2001-01-06";"89.76"
"00803X0003/P";"2001-01-13";"90.09"
"00803X0003/P";"2001-01-20";"90.38"
"00803X0003/P";"2001-01-30";"90.86"
"00803X0003/P";"2001-02-07";"91.06"
"00803X0003/P";"2001-02-14";"91.56"
"00803X0003/P";"2001-02-21";"91.76"
"00803X0003/P";"2001-02-28";"91.96"
"00803X0003/P";"2001-03-15";"92.06"
"00803X0003/P";"2001-03-20";"92.16"
"00803X0003/P";"2001-03-24";"92.96"
"00803X0003/P";"2001-03-31";"94.06"
"00803X0003/P";"2001-04-05";"94.76"
"00803X0003/P";"2001-04-10";"95.16"
"00803X0003/P";"2001-04-19";"95.86"
"00803X0003/P";"2001-04-25";"96.66"
"00803X0003/P";"2001-04-30";"97.16"
"00803X0003/P";"2001-05-07";"97.26"
"00803X0003/P";"2001-05-15";"97.36"
"00803X0003/P";"2001-05-24";"97.41"
"00803X0003/P";"2001-05-31";"97.46"
"00803X0003/P";"2001-06-03";"97.36"
"00803X0003/P";"2001-06-09";"97.16"
"00803X0003/P";"2001-06-15";"96.66"
"00803X0003/P";"2001-06-23";"96.36"
"00803X0003/P";"2001-06-30";"95.86"
"00803X0003/P";"2001-07-15";"95.26"
"00803X0003/P";"2001-07-23";"94.96"
"00803X0003/P";"2001-07-30";"94.66"
"00803X0003/P";"2001-08-06";"94.21"
"00803X0003/P";"2001-08-13";"93.98"
"00803X0003/P";"2001-08-19";"93.87"
"00803X0003/P";"2001-08-30";"93.76"
"00803X0003/P";"2001-09-07";"93.26"
"00803X0003/P";"2001-09-14";"93.1"
"00803X0003/P";"2001-09-22";"92.94"
"00803X0003/P";"2001-09-30";"92.71"
"00803X0003/P";"2001-10-08";"92.49"
"00803X0003/P";"2001-10-16";"92.21"
"00803X0003/P";"2001-10-24";"91.96"
"00803X0003/P";"2001-11-02";"91.71"
"00803X0003/P";"2001-11-12";"91.76"
"00803X0003/P";"2001-11-19";"91.86"
"00803X0003/P";"2001-11-29";"91.86"
"00803X0003/P";"2001-12-03";"92.21"
"00803X0003/P";"2001-12-10";"92.54"
"00803X0003/P";"2001-12-18";"92.83"
"00803X0003/P";"2001-12-29";"93.06"
"00803X0003/P";"2002-01-15";"93.24"
"00803X0003/P";"2002-01-28";"93.77"
"00803X0003/P";"2002-02-21";"94.21"
"00803X0003/P";"2002-02-25";"94.44"
"00803X0003/P";"2002-03-04";"94.69"
"00803X0003/P";"2002-03-11";"94.97"
"00803X0003/P";"2002-03-18";"95.37"
"00803X0003/P";"2002-03-25";"95.7"
"00803X0003/P";"2002-04-01";"96.17"
"00803X0003/P";"2002-04-08";"96.6"
"00803X0003/P";"2002-04-15";"97.04"
"00803X0003/P";"2002-04-22";"97.25"
"00803X0003/P";"2002-04-29";"97.54"
"00803X0003/P";"2002-05-06";"97.24"
"00803X0003/P";"2002-05-13";"97.17"
"00803X0003/P";"2002-05-20";"96.96"
"00803X0003/P";"2002-05-27";"96.76"
"00803X0003/P";"2002-06-03";"96.61"
"00803X0003/P";"2002-06-10";"96.34"
"00803X0003/P";"2002-06-17";"95.96"
"00803X0003/P";"2002-06-24";"95.57"
"00803X0003/P";"2002-07-01";"95.24"
"00803X0003/P";"2002-07-08";"94.93"
"00803X0003/P";"2002-07-15";"94.56"
"00803X0003/P";"2002-07-22";"94.3"
"00803X0003/P";"2002-07-29";"94.11"
"00803X0003/P";"2002-08-05";"93.67"
"00803X0003/P";"2002-08-12";"93.43"
"00803X0003/P";"2002-08-19";"93.23"
"00803X0003/P";"2002-08-26";"93.14"
"00803X0003/P";"2002-09-02";"93.18"
"00803X0003/P";"2002-09-09";"93.07"
"00803X0003/P";"2002-09-16";"92.92"
"00803X0003/P";"2002-09-23";"92.77"
"00803X0003/P";"2002-09-30";"92.73"
"00803X0003/P";"2002-10-01";"92.74"
"00803X0003/P";"2002-11-12";"90.77"
"00803X0003/P";"2002-11-26";"90.63"
"00803X0003/P";"2002-12-02";"90.56"
"00803X0003/P";"2002-12-09";"90.44"
"00803X0003/P";"2002-12-16";"90.4"
"00803X0003/P";"2002-12-23";"90.35"
"00803X0003/P";"2002-12-30";"90.41"
"00803X0003/P";"2003-01-06";"90.68"
"00803X0003/P";"2003-01-13";"91.06"
"00803X0003/P";"2003-01-20";"91.59"
"00803X0003/P";"2003-01-27";"92.09"
"00803X0003/P";"2003-02-03";"92.73"
"00803X0003/P";"2003-02-10";"93.23"
"00803X0003/P";"2003-02-17";"93.68"
"00803X0003/P";"2003-02-24";"94.21"
"00803X0003/P";"2003-03-03";"94.7"
"00803X0003/P";"2003-03-10";"95.05"
"00803X0003/P";"2003-03-17";"95.22"
"00803X0003/P";"2003-03-24";"95.39"
"00803X0003/P";"2003-03-31";"95.47"
"00803X0003/P";"2003-04-07";"95.48"
"00803X0003/P";"2003-04-14";"95.4"
"00803X0003/P";"2003-04-21";"95.36"
"00803X0003/P";"2003-04-28";"95.2"
"00803X0003/P";"2003-05-05";"94.79"
"00803X0003/P";"2003-05-12";"94.51"
"00803X0003/P";"2003-05-19";"94.3"
"00803X0003/P";"2003-05-26";"94.06"
"00803X0003/P";"2003-06-02";"93.86"
"00803X0003/P";"2003-06-09";"93.63"
"00803X0003/P";"2003-06-16";"93.38"
"00803X0003/P";"2003-06-23";"93.17"
"00803X0003/P";"2003-06-30";"92.96"
"00803X0003/P";"2003-07-07";"92.72"
"00803X0003/P";"2003-07-14";"92.51"
"00803X0003/P";"2003-07-21";"92.31"
"00803X0003/P";"2003-07-28";"92.09"
"00803X0003/P";"2003-08-04";"91.85"
"00803X0003/P";"2003-08-11";"91.64"
"00803X0003/P";"2003-08-18";"91.45"
"00803X0003/P";"2003-08-25";"91.22"
"00803X0003/P";"2003-09-01";"91.03"
"00803X0003/P";"2003-09-08";"90.86"
"00803X0003/P";"2003-09-15";"90.67"
"00803X0003/P";"2003-09-22";"90.52"
"00803X0003/P";"2003-09-29";"90.35"
"00803X0003/P";"2003-10-06";"90.25"
"00803X0003/P";"2003-10-13";"90.09"
"00803X0003/P";"2003-10-20";"89.96"
"00803X0003/P";"2003-10-27";"89.83"
"00803X0003/P";"2003-11-03";"89.76"
"00803X0003/P";"2003-11-10";"89.58"
"00803X0003/P";"2003-11-17";"89.44"
"00803X0003/P";"2003-11-24";"89.36"
"00803X0003/P";"2003-12-01";"89.28"
"00803X0003/P";"2003-12-08";"89.11"
"00803X0003/P";"2003-12-15";"89.01"
"00803X0003/P";"2003-12-22";"88.92"
"00803X0003/P";"2003-12-29";"88.85"
"00803X0003/P";"2004-01-05";"88.77"
"00803X0003/P";"2004-01-12";"88.72"
"00803X0003/P";"2004-01-19";"88.65"
"00803X0003/P";"2004-01-26";"88.59"
"00803X0003/P";"2004-02-02";"88.53"
"00803X0003/P";"2004-02-09";"88.41"
"00803X0003/P";"2004-02-16";"88.34"
"00803X0003/P";"2004-02-23";"88.28"
"00803X0003/P";"2004-03-01";"88.28"
"00803X0003/P";"2004-03-08";"88.2"
"00803X0003/P";"2004-03-15";"88.15"
"00803X0003/P";"2004-03-22";"88.12"
"00803X0003/P";"2004-03-29";"88.02"
"00803X0003/P";"2004-04-05";"87.97"
"00803X0003/P";"2004-04-12";"87.9"
"00803X0003/P";"2004-04-19";"87.87"
"00803X0003/P";"2004-04-26";"87.77"
"00803X0003/P";"2004-05-03";"87.73"
"00803X0003/P";"2004-05-10";"87.68"
"00803X0003/P";"2004-05-17";"87.58"
"00803X0003/P";"2004-05-24";"87.51"
"00803X0003/P";"2004-05-31";"87.44"
"00803X0003/P";"2004-06-07";"87.36"
"00803X0003/P";"2004-06-14";"87.28"
"00803X0003/P";"2004-06-21";"87.24"
"00803X0003/P";"2004-06-28";"87.14"
"00803X0003/P";"2004-07-05";"87.03"
"00803X0003/P";"2004-07-12";"86.96"
"00803X0003/P";"2004-07-19";"86.95"
"00803X0003/P";"2004-07-26";"86.95"
"00803X0003/P";"2004-08-02";"86.87"
"00803X0003/P";"2004-08-09";"86.77"
"00803X0003/P";"2004-08-16";"86.72"
"00803X0003/P";"2004-08-23";"86.64"
"00803X0003/P";"2004-08-30";"86.61"
