"code_bss";"date_mesure";"niveau_nappe_eau"
"09307X0136/F";"2003-01-01";"96.04"
"09307X0136/F";"2003-01-02";"96.0"
"09307X0136/F";"2003-01-03";"96.02"
"09307X0136/F";"2003-01-04";"96.04"
"09307X0136/F";"2003-01-05";"96.06"
"09307X0136/F";"2003-01-06";"95.96"
"09307X0136/F";"2003-01-07";"96.08"
"09307X0136/F";"2003-01-08";"96.0"
"09307X0136/F";"2003-01-09";"96.03"
"09307X0136/F";"2003-01-10";"96.08"
"09307X0136/F";"2003-01-11";"96.09"
"09307X0136/F";"2003-01-12";"96.07"
"09307X0136/F";"2003-01-13";"96.07"
"09307X0136/F";"2003-01-14";"96.03"
"09307X0136/F";"2003-01-15";"95.98"
"09307X0136/F";"2003-01-16";"96.0"
"09307X0136/F";"2003-01-17";"95.98"
"09307X0136/F";"2003-01-18";"95.98"
"09307X0136/F";"2003-01-19";"95.94"
"09307X0136/F";"2003-01-20";"96.03"
"09307X0136/F";"2003-01-21";"95.96"
"09307X0136/F";"2003-01-22";"96.06"
"09307X0136/F";"2003-01-23";"96.11"
"09307X0136/F";"2003-01-24";"96.12"
"09307X0136/F";"2003-01-25";"96.05"
"09307X0136/F";"2003-01-26";"96.04"
"09307X0136/F";"2003-01-27";"96.01"
"09307X0136/F";"2003-01-28";"96.01"
"09307X0136/F";"2003-01-29";"95.95"
"09307X0136/F";"2003-01-30";"96.32"
"09307X0136/F";"2003-01-31";"96.19"
"09307X0136/F";"2003-02-01";"97.02"
"09307X0136/F";"2003-02-02";"96.3"
"09307X0136/F";"2003-02-03";"96.3"
"09307X0136/F";"2003-02-04";"96.26"
"09307X0136/F";"2003-02-05";"96.31"
"09307X0136/F";"2003-02-06";"96.32"
"09307X0136/F";"2003-02-07";"96.32"
"09307X0136/F";"2003-02-08";"96.31"
"09307X0136/F";"2003-02-09";"96.41"
"09307X0136/F";"2003-02-10";"96.41"
"09307X0136/F";"2003-02-11";"96.44"
"09307X0136/F";"2003-02-12";"96.48"
"09307X0136/F";"2003-02-13";"96.44"
"09307X0136/F";"2003-02-14";"96.45"
"09307X0136/F";"2003-02-15";"96.48"
"09307X0136/F";"2003-02-16";"96.52"
"09307X0136/F";"2003-02-17";"96.52"
"09307X0136/F";"2003-02-18";"96.52"
"09307X0136/F";"2003-02-19";"96.42"
"09307X0136/F";"2003-02-20";"96.37"
"09307X0136/F";"2003-02-21";"96.45"
"09307X0136/F";"2003-02-22";"96.47"
"09307X0136/F";"2003-02-23";"96.52"
"09307X0136/F";"2003-02-24";"96.54"
"09307X0136/F";"2003-02-25";"96.46"
"09307X0136/F";"2003-02-26";"96.42"
"09307X0136/F";"2003-02-27";"96.4"
"09307X0136/F";"2003-02-28";"96.54"
"09307X0136/F";"2003-03-01";"96.55"
"09307X0136/F";"2003-03-02";"96.53"
"09307X0136/F";"2003-03-03";"96.53"
"09307X0136/F";"2003-03-04";"96.56"
"09307X0136/F";"2003-03-05";"96.56"
"09307X0136/F";"2003-03-06";"96.53"
"09307X0136/F";"2003-03-07";"96.61"
"09307X0136/F";"2003-03-08";"96.64"
"09307X0136/F";"2003-03-09";"96.64"
"09307X0136/F";"2003-03-10";"96.66"
"09307X0136/F";"2003-03-11";"96.65"
"09307X0136/F";"2003-03-12";"96.63"
"09307X0136/F";"2003-03-13";"96.62"
"09307X0136/F";"2003-03-14";"96.59"
"09307X0136/F";"2003-03-15";"96.64"
"09307X0136/F";"2003-03-16";"96.72"
"09307X0136/F";"2003-03-17";"96.72"
"09307X0136/F";"2003-03-18";"96.67"
"09307X0136/F";"2003-03-19";"96.67"
"09307X0136/F";"2003-03-20";"96.67"
"09307X0136/F";"2003-03-21";"96.66"
"09307X0136/F";"2003-03-22";"96.6"
"09307X0136/F";"2003-03-23";"96.6"
"09307X0136/F";"2003-03-24";"96.68"
"09307X0136/F";"2003-03-25";"96.65"
"09307X0136/F";"2003-03-26";"96.6"
"09307X0136/F";"2003-03-27";"96.56"
"09307X0136/F";"2003-03-28";"96.51"
"09307X0136/F";"2003-03-29";"96.52"
"09307X0136/F";"2003-03-30";"96.53"
"09307X0136/F";"2003-03-31";"96.54"
"09307X0136/F";"2003-04-01";"96.58"
"09307X0136/F";"2003-04-02";"96.56"
"09307X0136/F";"2003-04-03";"96.54"
"09307X0136/F";"2003-04-04";"96.61"
"09307X0136/F";"2003-04-05";"96.6"
"09307X0136/F";"2003-04-06";"96.58"
"09307X0136/F";"2003-04-07";"96.55"
"09307X0136/F";"2003-04-08";"96.53"
"09307X0136/F";"2003-04-09";"96.5"
"09307X0136/F";"2003-04-10";"96.47"
"09307X0136/F";"2003-04-11";"96.48"
"09307X0136/F";"2003-04-12";"96.54"
"09307X0136/F";"2003-04-13";"96.54"
"09307X0136/F";"2003-04-14";"96.46"
"09307X0136/F";"2003-04-15";"96.49"
"09307X0136/F";"2003-04-16";"96.54"
"09307X0136/F";"2003-04-17";"96.56"
"09307X0136/F";"2003-04-18";"96.55"
"09307X0136/F";"2003-04-19";"96.45"
"09307X0136/F";"2003-04-20";"96.4"
"09307X0136/F";"2003-04-21";"96.47"
"09307X0136/F";"2003-04-22";"96.49"
"09307X0136/F";"2003-04-23";"96.44"
"09307X0136/F";"2003-04-24";"96.49"
"09307X0136/F";"2003-04-25";"96.49"
"09307X0136/F";"2003-04-26";"96.48"
"09307X0136/F";"2003-04-27";"96.56"
"09307X0136/F";"2003-04-28";"96.47"
"09307X0136/F";"2003-04-29";"96.47"
"09307X0136/F";"2003-04-30";"96.45"
"09307X0136/F";"2003-05-01";"96.57"
"09307X0136/F";"2003-05-02";"96.49"
"09307X0136/F";"2003-05-03";"96.58"
"09307X0136/F";"2003-05-04";"96.51"
"09307X0136/F";"2003-05-05";"96.45"
"09307X0136/F";"2003-05-06";"96.48"
"09307X0136/F";"2003-05-07";"96.52"
"09307X0136/F";"2003-05-08";"96.53"
"09307X0136/F";"2003-05-09";"96.56"
"09307X0136/F";"2003-05-10";"96.56"
"09307X0136/F";"2003-05-11";"96.55"
"09307X0136/F";"2003-05-12";"96.58"
"09307X0136/F";"2003-05-13";"96.55"
"09307X0136/F";"2003-05-14";"96.59"
"09307X0136/F";"2003-05-15";"96.58"
"09307X0136/F";"2003-05-16";"96.49"
"09307X0136/F";"2003-05-17";"96.47"
"09307X0136/F";"2003-05-18";"96.48"
"09307X0136/F";"2003-05-19";"96.46"
"09307X0136/F";"2003-05-20";"96.51"
"09307X0136/F";"2003-05-21";"96.54"
"09307X0136/F";"2003-05-22";"96.54"
"09307X0136/F";"2003-05-23";"96.46"
"09307X0136/F";"2003-05-24";"96.32"
"09307X0136/F";"2003-05-25";"96.39"
"09307X0136/F";"2003-05-26";"96.4"
"09307X0136/F";"2003-05-27";"96.4"
"09307X0136/F";"2003-05-28";"96.36"
"09307X0136/F";"2003-05-29";"96.28"
"09307X0136/F";"2003-05-30";"96.25"
"09307X0136/F";"2003-05-31";"96.23"
"09307X0136/F";"2003-06-01";"96.21"
"09307X0136/F";"2003-06-02";"96.22"
"09307X0136/F";"2003-06-03";"96.2"
"09307X0136/F";"2003-06-04";"96.18"
"09307X0136/F";"2003-06-05";"96.23"
"09307X0136/F";"2003-06-06";"96.26"
"09307X0136/F";"2003-06-07";"96.23"
"09307X0136/F";"2003-06-08";"96.18"
"09307X0136/F";"2003-06-09";"96.22"
"09307X0136/F";"2003-06-10";"96.17"
"09307X0136/F";"2003-06-11";"96.18"
"09307X0136/F";"2003-06-12";"96.15"
"09307X0136/F";"2003-06-13";"96.16"
"09307X0136/F";"2003-06-14";"96.14"
"09307X0136/F";"2003-06-15";"96.14"
"09307X0136/F";"2003-06-16";"96.1"
"09307X0136/F";"2003-06-17";"96.09"
"09307X0136/F";"2003-06-18";"96.13"
"09307X0136/F";"2003-06-19";"96.16"
"09307X0136/F";"2003-06-20";"96.12"
"09307X0136/F";"2003-06-21";"96.05"
"09307X0136/F";"2003-06-22";"95.98"
"09307X0136/F";"2003-06-23";"95.96"
"09307X0136/F";"2003-06-24";"95.98"
"09307X0136/F";"2003-06-25";"95.97"
"09307X0136/F";"2003-06-26";"95.97"
"09307X0136/F";"2003-06-27";"95.94"
"09307X0136/F";"2003-06-28";"95.93"
"09307X0136/F";"2003-06-29";"95.85"
"09307X0136/F";"2003-06-30";"95.81"
"09307X0136/F";"2003-07-01";"95.8"
"09307X0136/F";"2003-07-02";"95.84"
"09307X0136/F";"2003-07-03";"95.84"
"09307X0136/F";"2003-07-04";"95.87"
"09307X0136/F";"2003-07-05";"95.84"
"09307X0136/F";"2003-07-06";"95.81"
"09307X0136/F";"2003-07-07";"95.8"
"09307X0136/F";"2003-07-08";"95.78"
"09307X0136/F";"2003-07-09";"95.72"
"09307X0136/F";"2003-07-10";"95.71"
"09307X0136/F";"2003-07-11";"95.69"
"09307X0136/F";"2003-07-12";"95.67"
"09307X0136/F";"2003-07-13";"95.63"
"09307X0136/F";"2003-07-14";"95.6"
"09307X0136/F";"2003-07-15";"95.57"
"09307X0136/F";"2003-07-16";"95.53"
"09307X0136/F";"2003-10-21";"95.6"
"09307X0136/F";"2003-10-22";"95.63"
"09307X0136/F";"2003-10-23";"95.64"
"09307X0136/F";"2003-10-24";"95.63"
"09307X0136/F";"2003-10-25";"95.6"
"09307X0136/F";"2003-10-26";"95.62"
"09307X0136/F";"2003-10-27";"95.63"
"09307X0136/F";"2003-10-28";"95.64"
"09307X0136/F";"2003-10-29";"95.65"
"09307X0136/F";"2003-10-30";"95.66"
"09307X0136/F";"2003-10-31";"95.71"
"09307X0136/F";"2003-11-01";"95.72"
"09307X0136/F";"2003-11-02";"95.69"
"09307X0136/F";"2003-11-03";"95.69"
"09307X0136/F";"2003-11-04";"95.68"
"09307X0136/F";"2003-11-05";"95.68"
"09307X0136/F";"2003-11-06";"95.7"
"09307X0136/F";"2003-11-07";"95.71"
"09307X0136/F";"2003-11-08";"95.72"
"09307X0136/F";"2003-11-09";"95.71"
"09307X0136/F";"2003-11-10";"95.72"
"09307X0136/F";"2003-11-11";"95.72"
"09307X0136/F";"2003-11-12";"95.73"
"09307X0136/F";"2003-11-13";"95.72"
"09307X0136/F";"2003-11-14";"95.73"
"09307X0136/F";"2003-11-15";"95.74"
"09307X0136/F";"2003-11-16";"95.78"
"09307X0136/F";"2003-11-17";"95.75"
"09307X0136/F";"2003-11-18";"95.74"
"09307X0136/F";"2003-11-19";"95.75"
"09307X0136/F";"2003-11-20";"95.76"
"09307X0136/F";"2003-11-21";"95.77"
"09307X0136/F";"2003-11-22";"95.78"
"09307X0136/F";"2003-11-23";"95.8"
"09307X0136/F";"2003-11-24";"95.79"
